Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-09-14,133.610001,133.610001,131.149994,131.740005,120.102371,695300,147
2018-09-17,132.070007,132.830002,130.710007,131.550003,119.929146,912200,148
2018-09-18,132.029999,132.809998,130.899994,132.220001,120.539948,682600,149
2018-09-19,132.660004,134.589996,132.119995,134.130005,122.281235,894500,150
2018-09-20,136.580002,137.240005,135.160004,136.119995,124.095444,780100,151
2018-09-21,136.25,137.990005,135.149994,136.570007,124.505684,1140100,152
2018-09-24,136.509995,136.820007,133.089996,133.940002,122.108025,647900,153
2018-09-25,134.270004,134.75,132.289993,134.479996,122.600304,604200,154
2018-09-26,134.720001,138.580002,133.279999,137.440002,125.298866,645200,155
2018-09-27,136.889999,139.199997,136.179993,137.660004,126.072701,769500,156
2018-09-28,137.619995,139.559998,137.190002,137.550003,125.97197,742600,157
2018-10-01,137.690002,139.5,135.139999,135.440002,124.039581,695000,158
2018-10-02,135.380005,135.770004,129.889999,129.960007,119.020859,1247500,159
2018-10-03,130.600006,133.970001,130.039993,132.990005,121.795807,878100,160
2018-10-04,132.300003,132.899994,125.860001,126.559998,115.907028,1525900,161
2018-10-05,127.110001,128.169998,125.169998,126.459999,115.81546,1495600,162
2018-10-08,126.190002,128.919998,125.879997,128.020004,117.244148,772700,163
2018-10-09,127.669998,129.350006,127.059998,127.739998,116.987709,570200,164
2018-10-10,125.339996,125.339996,116.800003,116.959999,107.115105,1920700,165
2018-10-11,116.959999,120.300003,116.080002,117.650002,107.747017,1305000,166
2018-10-12,119.470001,121.889999,119.129997,121.419998,111.199669,1773100,167
2018-10-15,127.599998,127.599998,124.199997,126.510002,115.861244,2300700,168
2018-10-16,126.809998,129.289993,125.389999,129.160004,118.288193,1119600,169
2018-10-17,129.550003,129.800003,126.839996,128.169998,117.3815,932100,170
2018-10-18,127.400002,129.5,125.75,126.650002,115.989449,990700,171
2018-10-19,126,127.599998,122.480003,123.480003,113.086281,1389600,172
2018-10-22,124.269997,128.320007,123.82,128.059998,117.280777,1128200,173
2018-10-23,125.800003,128.710007,124.120003,127.830002,117.070129,1020500,174
2018-10-24,127.739998,129.320007,124.150002,124.410004,113.938011,1056000,175
2018-10-25,124.900002,127.68,124.760002,127.040001,116.346626,1310900,176
2018-10-26,125.620003,128,124.150002,127.220001,116.511475,901200,177
2018-10-29,130,133.220001,129,130.880005,119.863426,1230800,178
2018-10-30,131.389999,132.460007,127.940002,131.089996,120.055725,1547900,179
2018-10-31,131.949997,133.509995,129.509995,129.610001,118.70031,1551200,180
2018-11-01,129.460007,132.880005,127.5,132.449997,121.301247,1900900,181
2018-11-02,133.570007,134.899994,131.429993,134.029999,122.748245,1077300,182
2018-11-05,133.770004,137.339996,131.25,136.800003,125.28511,1568900,183
2018-11-06,130.25,134.800003,124.779999,127.790001,117.033501,5409600,184
2018-11-07,126,128.100006,120.169998,127.400002,116.676323,2737700,185
2018-11-08,127.480003,132.25,125.849998,132.210007,121.081459,1725700,186
2018-11-09,130.639999,131.559998,123.900002,123.93,113.498398,2079400,187
2018-11-12,124.919998,126.510002,120.82,121.029999,110.842529,1723700,188
2018-11-13,121.550003,124.129997,120.730003,121.419998,111.199669,886600,189
